elapsed_days,departure_time_unix,arrival_time_unix,duration_in_seconds,total_distance,duration_hours,duration_minutes,departure_year,departure_month,departure_day,departure_hour,departure_minute,departure_second,departure_timezone,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_minute,arrival_second,arrival_timezone,flight_id
0,1656095400,1656102900,7500,600,2,54,2022,6,24,13,30,0,5.0,2022,6,24,16,35,0,4.0,14150
0,1656108900,1656116640,7740,667,2,59,2022,6,24,18,15,0,4.0,2022,6,24,20,24,0,4.0,14151
1,1656212040,1656218940,6900,545,2,46,2022,6,25,22,54,0,4.0,2022,6,26,0,49,0,4.0,14152
1,1656196680,1656205200,8520,728,3,24,2022,6,25,18,38,0,4.0,2022,6,25,21,0,0,4.0,14153
0,1656159300,1656163800,4500,233,1,42,2022,6,25,7,15,0,5.0,2022,6,25,8,30,0,5.0,14154
0,1656169200,1656179520,10320,958,3,54,2022,6,25,10,0,0,5.0,2022,6,25,13,52,0,4.0,14155
0,1656268440,1656272520,4080,257,2,39,2022,6,26,14,34,0,4.0,2022,6,26,15,42,0,4.0,14156
0,1656267180,1656275340,8160,762,4,9,2022,6,26,14,13,0,4.0,2022,6,26,16,29,0,4.0,14157
1,1656291240,1656300900,9660,958,3,0,2022,6,26,17,54,0,7.0,2022,6,26,20,35,0,7.0,14158
0,1656252000,1656259140,7140,592,1,59,2022,6,26,9,0,0,5.0,2022,6,26,11,59,0,4.0,14159
1,1656412500,1656418440,5940,449,1,57,2022,6,28,6,35,0,4.0,2022,6,28,8,14,0,4.0,14160
0,1656327540,1656340680,13140,1380,3,39,2022,6,27,6,59,0,4.0,2022,6,27,9,38,0,5.0,14161
0,1656342600,1656363420,20820,2458,5,47,2022,6,27,8,10,0,7.0,2022,6,27,16,57,0,4.0,14162
0,1656436740,1656441060,4320,233,1,55,2022,6,28,12,19,0,5.0,2022,6,28,13,31,0,5.0,14163
0,1656451200,1656463680,12480,1383,5,33,2022,6,28,16,20,0,5.0,2022,6,28,17,48,0,7.0,14164
0,1656437520,1656444060,6540,545,4,43,2022,6,28,13,32,0,4.0,2022,6,28,15,21,0,4.0,14165
0,1656414060,1656419040,4980,327,3,36,2022,6,28,7,1,0,4.0,2022,6,28,8,24,0,4.0,14166
0,1656414000,1656423180,9180,720,3,4,2022,6,28,7,0,0,4.0,2022,6,28,8,33,0,5.0,14167
0,1656437100,1656443880,6780,592,2,52,2022,6,28,12,25,0,5.0,2022,6,28,15,18,0,4.0,14168
0,1656431700,1656447420,15720,1847,5,12,2022,6,28,8,55,0,7.0,2022,6,28,15,17,0,5.0,14169
0,1656503640,1656510300,6660,545,1,51,2022,6,29,7,54,0,4.0,2022,6,29,9,45,0,4.0,14170
0,1656513240,1656521400,8160,725,3,59,2022,6,29,10,34,0,4.0,2022,6,29,11,50,0,5.0,14171
0,1656495000,1656501840,6840,604,3,20,2022,6,29,5,30,0,4.0,2022,6,29,7,24,0,4.0,14172
0,1656520860,1656533100,12240,1298,4,9,2022,6,29,12,41,0,4.0,2022,6,29,15,5,0,5.0,14173
