Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Tz database time zone,Type,airport_id
Bungoma Airport,Bungoma,Kenya,\N,HKBU,0.5762079954147339,34.553451538085945,4726,3.0,U,Africa/Nairobi,airport,6285
Bura East Airport,Bura,Kenya,\N,HKBR,-1.100000023841858,39.95000076293945,345,3.0,U,Africa/Nairobi,airport,6286
Busia Airport,Busia,Kenya,\N,HKBA,0.4570850133895874,34.130279541015625,3989,3.0,U,Africa/Nairobi,airport,6287
Embu Airport,Embu,Kenya,\N,HKEM,-0.57327,37.49726,4150,3.0,U,Africa/Nairobi,airport,6288
Garba Tula Airport,Garba Tula,Kenya,\N,HKGT,0.533333,38.516667,2000,3.0,U,Africa/Nairobi,airport,6289
Garissa Airport,Garissa,Kenya,GAS,HKGA,-0.4635080099105835,39.64830017089844,475,3.0,U,Africa/Nairobi,airport,6290
Hola Airport,Hola,Kenya,HOA,HKHO,-1.5219999551773071,40.00400161743164,195,3.0,U,Africa/Nairobi,airport,6291
Homa Bay Airport,Homa Bay,Kenya,\N,HKHB,-0.6000000238418579,34.46699905395508,4280,3.0,U,Africa/Nairobi,airport,6292
Isiolo Airport,Isiolo,Kenya,\N,HKIS,0.3381709456443786,37.59169387817383,3495,3.0,U,Africa/Nairobi,airport,6293
Kericho Airport,Kericho,Kenya,KEY,HKKR,-0.3899,35.242093,6446,3.0,U,Africa/Nairobi,airport,6294
Kilaguni Airport,Kilaguni,Kenya,ILU,HKKL,-2.9106099605560303,38.06520080566406,2750,3.0,U,Africa/Nairobi,airport,6295
Antsirabe Airport,Antsirabe,Madagascar,ATJ,FMME,-19.8392214824,47.0637130737,4997,3.0,U,Indian/Antananarivo,airport,6296
Bekily Airport,Bekily,Madagascar,OVA,FMSL,-24.2356947547,45.30452728270001,1270,3.0,U,Indian/Antananarivo,airport,6297
Ust-Tsylma Airport,Ust-Tsylma,Russia,UTS,UUYX,65.43729400630001,52.20033645629999,262,3.0,N,Europe/Moscow,airport,6298
Gorno-Altaysk Airport,Gorno-Altaysk,Russia,RGK,UNBG,51.9667015076,85.8332977295,965,7.0,N,Asia/Krasnoyarsk,airport,6299
