,,,,,,AAC,ADG,TDG,1A,1B,2A,2B,3,4,5,6,# of TRUE,"Approach Speed
(Vref)","Wingspan, ft",Wingtip Configuration,"Length, ft","Tail Height, ft
(@ OEW)","Wheelbase, ft",Cockpit to Main Gear (CMG),"MGW
(Outer to Outer)",,,,,,,,,,,,,,,,,,
Last updated: 2023-02-07,,,,, Quick Manual Check (enter values in yellow cells) ,B,II,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,120,55.00,,,,,25.00,12.00,,,,,,,,,,,,,,,,,,
Data not verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,, Equations for TDG hidden columns J to R--> ,,,,,,,,,, <-- Equations for TDG hidden columns J to R ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,From IACO,From TFMSC,,,,,,,,,,,,,
Date Completed,Manufacturer,ICAO Code,Model,Physical Class (Engine),# Engines,AAC,ADG,TDG,1A,1B,2A,2B,3,4,5,6,Only one TRUE?,"Approach Speed, Vref
(Vref = 1.3 * Vso)","Wingspan, ft",Wingtip Configuration,"Length, ft","Tail Height, ft
(@ OEW)","Wheelbase, ft",Cockpit to Main Gear (CMG),"MGW
(Outer to Outer)",MTOW,"Max Ramp
Max Taxi",Main Gear Config,Wake Category,ATCT Weight Class,Years Manufactured,Note,,,,,,,,,,,
,Boeing (McDonnell Douglas),DC6,DC-6A/B,,,B,III,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,108,117.50,,105.60,29.30,tbd,tbd,tbd,"107,000",,,M,tbd,tbd,,,,,,,,,,,,
,Boeing (McDonnell Douglas),DC7,DC-7,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,M,tbd,tbd,,,,,,,,,,,,
,Boeing (McDonnell Douglas),DC7,DC-7B,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,M,tbd,tbd,,,,,,,,,,,,
,Boeing (McDonnell Douglas),DC7,DC-7C,,,B,IV,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,110,127.50,,112.30,31.70,tbd,tbd,tbd,"143,000",,,M,tbd,tbd,,,,,,,,,,,,
,Boeing (McDonnell Douglas),tbd,DC-8-10,,,C,IV,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,131,142.40,,,43.30,tbd,tbd,tbd,"276,000",,,,tbd,tbd,,,,,,,,,,,,
,Boeing (McDonnell Douglas),tbd,DC-8-20/30/40,,,C,IV,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,133,142.40,,,43.30,tbd,tbd,tbd,"315,000",,,,tbd,tbd,,,,,,,,,,,,
,Boeing (McDonnell Douglas),tbd,DC-8-40,,,C,IV,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,133,142.40,,150.70,43.40,tbd,tbd,tbd,"315,000",,,,tbd,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),tbd,DC-8-43,Jet,,C,IV,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,133,142.40,no winglets,150.70,43.43,57.5,65.50,24.67,"315,000","318,000",2D,,tbd,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),DC85,DC-8-50,Jet,,C,IV,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,137,142.40,no winglets,tbd,tbd,tbd,tbd,tbd,tbd,tbd,2D,H,tbd,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),DC85,DC-8-50F,Jet,,D,IV,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,144,142.40,no winglets,tbd,tbd,tbd,tbd,tbd,tbd,tbd,2D,H,tbd,tbd,,,,,,,,,,,,
,Boeing (McDonnell Douglas),tbd,DC-8-51,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,,tbd,tbd,,,,,,,,,,,,
,Boeing (McDonnell Douglas),tbd,DC-8-52,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,,tbd,tbd,,,,,,,,,,,,
,Boeing (McDonnell Douglas),tbd,DC-8-53,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,,tbd,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),tbd,DC-8-55,Jet,,C,IV,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,137,142.40,no winglets,150.70,43.56,57.5,65.50,24.67,"325,000","328,000",2D,,tbd,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),tbd,DC-8-55F,Jet,,C,IV,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,137,142.40,no winglets,150.70,43.74,57.5,65.50,24.67,"325,000","328,000",2D,,tbd,tbd,,,,,,,,,,,,
,Boeing (McDonnell Douglas),DC86,DC-8-60,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,H,tbd,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),tbd,DC-8-61,Jet,,D,IV,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,144,142.40,no winglets,187.40,43.23,77.5,85.50,24.67,"325,000","328,000",2D,,tbd,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),tbd,DC-8-61F,Jet,,D,IV,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,144,142.40,no winglets,187.40,43.19,77.5,85.50,24.67,"328,000","331,000",2D,,tbd,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),tbd,DC-8-62,Jet,,C,IV,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,138,148.40,no winglets,157.50,43.25,60.8,68.80,24.88,"350,000","353,000",2D,,tbd,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),tbd,DC-8-62F,Jet,,C,IV,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,138,148.40,no winglets,157.50,43.32,60.8,68.80,24.88,"350,000","353,000",2D,,tbd,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),tbd,DC-8-63,Jet,,D,IV,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,143,148.40,no winglets,187.40,43.00,77.5,85.50,24.88,"355,000","358,000",2D,,tbd,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),tbd,DC-8-63F,Jet,,D,IV,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,143,148.40,no winglets,187.40,43.13,77.5,85.50,24.88,"355,000","358,000",2D,,tbd,tbd,,,,,,,,,,,,
,Boeing (McDonnell Douglas),DC87,DC-8-70,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,H,tbd,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),tbd,DC-8-71,Jet,,D,IV,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,144,142.40,no winglets,187.40,43.23,77.5,85.50,24.67,"325,000","328,000",2D,,tbd,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),tbd,DC-8-71F,Jet,,D,IV,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,144,142.40,no winglets,187.40,43.19,77.5,85.50,24.67,"328,000","331,000",2D,,tbd,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),tbd,DC-8-72,Jet,,C,IV,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,138,148.40,no winglets,157.50,43.25,60.8,68.80,24.88,"335,000","338,000",2D,,tbd,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),tbd,DC-8-72F,Jet,,C,IV,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,138,148.40,no winglets,157.50,43.32,60.8,68.80,24.88,"335,000","338,000",2D,,tbd,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),tbd,DC-8-73,Jet,,D,IV,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,143,148.40,no winglets,187.40,43.00,77.5,85.50,24.88,"355,000","358,000",2D,,tbd,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),tbd,DC-8-73F,Jet,,D,IV,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,143,148.40,no winglets,187.40,43.13,77.5,85.50,24.88,"355,000","358,000",2D,,tbd,tbd,,,,,,,,,,,,
,Boeing (McDonnell Douglas),,DC-9 Stage 3,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,,tbd,tbd,,,,,,,,,,,,
,Boeing (McDonnell Douglas),DC91,DC-9-10,,,C,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,132,,,,,tbd,tbd,tbd,,,,M,Large Jet Eqpt,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),DC95,DC-9-15,Jet,,C,III,2B,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,132,89.40,no winglets,104.40,27.58,43.67,43.67,18.33,"90,700","91,500",D,,Large Jet Eqpt,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),DC95,DC-9-15F,Jet,,C,III,2B,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,132,89.40,no winglets,104.40,27.58,43.67,43.67,18.33,"90,700","91,500",D,,Large Jet Eqpt,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),DC92,DC-9-20,Jet,,C,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,126,,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,D,M,Large Jet Eqpt,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),DC92,DC-9-21,Jet,,C,III,2B,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,132,93.30,no winglets,104.40,27.42,43.67,43.67,18.42,"98,000","101,000",D,,Large Jet Eqpt,tbd,,,,,,,,,,,,
,Boeing (McDonnell Douglas),DC93,DC-9-30,,,C,III,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,132,93.30,,119.30,27.80,tbd,tbd,tbd,"121,000",,,M,Large Jet Eqpt,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),DC93,DC-9-32/33F,Jet,,C,III,2B,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,132,93.30,no winglets,119.30,27.75,53.17,53.17,18.42,"108,000","109,000",D,,Large Jet Eqpt,tbd,,,,,,,,,,,,
,Boeing (McDonnell Douglas),DC94,DC-9-40,,,C,III,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,132,93.30,,125.60,28.40,tbd,tbd,tbd,"114,000",,,M,Large Jet Eqpt,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),tbd,DC-9-41,Jet,,C,III,2B,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,132,93.30,no winglets,125.60,28.42,56.17,56.17,18.17,"114,000","115,000",D,,Large Jet Eqpt,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),DC95,DC-9-50,Jet,,C,Greater than 262' WS,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,135,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,D,M,Large Jet Eqpt,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),tbd,DC-9-51,Jet,,C,III,2B,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,132,93.35,no winglets,133.58,28.75,60.92,60.92,18.17,"121,000","122,000",D,,Large Jet Eqpt,tbd,,,,,,,,,,,,
,Boeing (McDonnell Douglas),tbd,DC-9-80,,,C,III,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,132,107.80,,,30.30,tbd,tbd,tbd,"140,000",,,,Large Jet Eqpt,tbd,,,,,,,,,,,,
,Boeing (McDonnell Douglas),tbd,DC-9-82,,,C,III,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,135,107.80,,,30.30,tbd,tbd,tbd,"149,500",,,,Large Jet Eqpt,tbd,,,,,,,,,,,,
,Boeing (McDonnell Douglas),tbd,MD-10-10F,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,,tbd,tbd,,,,,,,,,,,,
,Boeing (McDonnell Douglas),tbd,MD-10-30F,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,,tbd,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),tbd,MD-11,Jet,,D,IV,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,153,170.50,winglets,202.17,58.83,80.75,101.67,41.25,"602,500","605,500",2D/D1,,tbd,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),tbd,MD-11 ER,Jet,,D,IV,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,158,170.50,winglets,202.17,58.83,80.75,101.67,41.25,"630,500","633,000",2D/D1,,tbd,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),tbd,MD-11F,Jet,,D,IV,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,158,170.50,winglets,202.17,58.83,80.75,101.67,41.25,"602,500","605,500",2D/D1,,tbd,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),tbd,MD-81,Jet,,C,III,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,134,107.85,no winglets,147.83,30.17,72.43,72.43,20.40,"140,000","141,000",D,,tbd,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),MD82,MD-82,Jet,,C,III,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,134,107.85,no winglets,147.83,30.17,72.43,72.43,20.40,"149,500","150,500",D,,Large Jet Eqpt,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),MD83,MD-83,Jet,,D,III,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,144,107.85,no winglets,147.83,30.17,72.43,72.43,20.40,"160,000","161,000",D,,Large Jet Eqpt,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),tbd,MD-87,Jet,,C,III,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,134,107.85,no winglets,130.42,31.17,62.92,62.92,20.40,"149,500","150,500",D,,tbd,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),MD88,MD-88,Jet,,D,III,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,144,107.85,no winglets,147.83,30.17,72.43,72.43,20.40,"149,500","150,500",D,,Large Jet Eqpt,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),MD90,MD-90-30,Jet,,C,III,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,138,107.83,no winglets,152.58,31.17,77.17,77.17,20.40,"156,000","157,000",D,,Large Jet Eqpt,tbd,,,,,,,,,,,,
2016-Jul-1,Boeing (McDonnell Douglas),MD90,MD-90-30ER,Jet,,C,III,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,138,107.83,no winglets,152.58,31.17,77.17,77.17,20.40,"168,000","168,500",D,,Large Jet Eqpt,tbd,,,,,,,,,,,,
,Boeing (McDonnell Douglas),tbd,MDC-C-133,,,C,V,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,128,179.70,,,48.20,tbd,tbd,tbd,"300,000",,,,tbd,tbd,,,,,,,,,,,,
,Boeing (McDonnell Douglas),tbd,R6D-1/C118-A,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,,tbd,tbd,,,,,,,,,,,,
,Boeing Vertol,H46,107,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,M,tbd,tbd,,,,,,,,,,,,
,Boeing Vertol,H64,AH-64 Longbow Apache,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,M,tbd,tbd,,,,,,,,,,,,
,Boeing Vertol,H46,CH-113 Labrador,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,M,tbd,tbd,,,,,,,,,,,,
,Boeing Vertol,H46,CH-46 Sea Knight,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,M,tbd,tbd,,,,,,,,,,,,
,Boeing Vertol,H47,CH-47 Chinook,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,M,tbd,tbd,,,,,,,,,,,,
,Boeing Vertol,H46,HH-46 Sea Knight,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,M,tbd,tbd,,,,,,,,,,,,
,Boeing Vertol,H47,MH-47 Chinook,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,M,tbd,tbd,,,,,,,,,,,,
,Boeing Vertol,H46,UH-46 Sea Knight,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,M,tbd,tbd,,,,,,,,,,,,
,Boeing Vertol,V22,V-22 Osprey,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,M,tbd,tbd,,,,,,,,,,,,
,Boeing-Sikorsky,H66,RAH-66 Comanche,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,Boisavia,,B.60 Mercurey,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,,tbd,tbd,,,,,,,,,,,,
,Bölkow,JUNR,BO-208 Junior,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,Bölkow,B209,BO-209 Monsun,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,Bölkow,KL07,Kl-107,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,Bolkow/MBB,,Bo 209 Monsun,Piston,1,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,,tbd,tbd,,,,,,,,,,,,
2016-Aug-22,Bombardier,tbd,Canadair CL-215 Scooper (Land),Piston,,A,III,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,86,93.83,no winglets,65.00,29.46,24.61,24.61,13.00,"43,500","43,500",S,,tbd,tbd,,,,,,,,,,,,
2016-Aug-22,Bombardier,tbd,Canadair CL-215 Scooper (Water modified per CSB # CL215-124),Piston,,A,III,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,86,93.83,no winglets,65.00,29.46,24.61,24.61,13.00,"37,700","38,000",S,,tbd,tbd,,,,,,,,,,,,
2016-Aug-22,Bombardier,tbd,Canadair CL-215 Scooper (Water),Piston,,A,III,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,86,93.83,no winglets,65.00,29.46,24.61,24.61,13.00,"36,000","36,300",S,,tbd,tbd,,,,,,,,,,,,
2016-Aug-22,Bombardier,tbd,Canadair CL-215T Scooper Retrofit (Land),Turboprop,,A,III,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,88,93.92,winglets,65.00,29.46,24.61,24.61,13.00,"43,500","43,500",S,,tbd,tbd,,,,,,,,,,,,
2016-Aug-22,Bombardier,tbd,Canadair CL-215T Scooper Retrofit (Water),Turboprop,,A,III,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,88,93.92,winglets,65.00,29.46,24.61,24.61,13.00,"37,850","37,850",S,,tbd,tbd,,,,,,,,,,,,
2016-Aug-22,Bombardier,tbd,Canadair CL-415 Super Scooper (Land),Turboprop,,A,III,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,88,93.92,winglets,65.00,29.46,24.61,24.61,13.00,"43,850","43,850",S,,tbd,tbd,,,,,,,,,,,,
2016-Aug-22,Bombardier,tbd,Canadair CL-415 Super Scooper (Water),Turboprop,,A,III,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,88,93.92,winglets,65.00,29.46,24.61,24.61,13.00,"37,850","37,850",S,,tbd,tbd,,,,,,,,,,,,
2016-Aug-21,Bombardier,CL30,Challenger 300 (BD-100),Jet,2,C,II,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,125,63.83,winglets,68.75,20.00,27.75,27.75,12.64,"38,850","39,000",D,M,Medium Commuter Eqpt,tbd,,,,,,,,,,,,
2016-Aug-21,Bombardier,CL35,Challenger 350,Jet,,C,II,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,125,69.00,winglets,68.67,20.00,27.75,27.75,12.64,"40,600","40,750",D,M,Medium Commuter Eqpt,tbd,,,,,,,,,,,,
2016-Aug-21,Bombardier,CL60,Challenger 600,Jet,,C,II,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,125,64.33,winglets,68.42,20.67,26.21,26.21,12.97,"41,100","41,250",D,M,Medium Commuter Eqpt,tbd,,,,,,,,,,,,
2016-Aug-21,Bombardier,CL60,Challenger 601 (CL-601-1A),Jet,,C,II,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,125,64.33,winglets,68.42,20.67,26.21,26.21,12.97,"43,100","43,250",D,M,Medium Commuter Eqpt,tbd,,,,,,,,,,,,
2016-Aug-21,Bombardier,CL60,Challenger 601 (CL-601-1A/ER),Jet,,C,II,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,125,64.33,winglets,68.42,20.67,26.21,26.21,12.97,"43,100","43,250",D,M,Medium Commuter Eqpt,tbd,,,,,,,,,,,,
2016-Aug-21,Bombardier,CL60,Challenger 601 (CL-601-3A),Jet,,C,II,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,125,64.33,winglets,68.42,20.67,26.21,26.21,12.97,"43,100","43,250",D,M,Medium Commuter Eqpt,tbd,,,,,,,,,,,,
2016-Aug-21,Bombardier,CL60,Challenger 601 (CL-601-3A/ER),Jet,,C,II,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,125,64.33,winglets,68.42,20.67,26.21,26.21,12.97,"43,100","43,250",D,M,Medium Commuter Eqpt,tbd,,,,,,,,,,,,
2016-Aug-21,Bombardier,CL60,Challenger 601 (CL-601-3R),Jet,,C,II,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,125,64.33,winglets,68.42,20.67,26.21,26.21,12.97,"45,100","45,250",D,M,Medium Commuter Eqpt,tbd,,,,,,,,,,,,
2016-Aug-21,Bombardier,CL60,Challenger 601s (CL-601s),Jet,,C,II,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,125,64.33,winglets,68.42,20.67,26.21,26.21,12.97,"45,100","45,250",D,M,Medium Commuter Eqpt,tbd,,,,,,,,,,,,
2018-Jan-26,Bombardier,CL60,Challenger 604/605,Jet,2,C,II,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,137,64.33,winglets,68.42,20.67,26.21,26.21,12.97,"48,200","48,300",D,M,Medium Commuter Eqpt,tbd,,,,,,,,,,,,
2016-Aug-22,Bombardier,CL60,Challenger 650,Jet,,C,II,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,125,64.33,winglets,68.42,20.67,26.21,26.21,12.97,"48,200","48,300",D,M,Medium Commuter Eqpt,tbd,,,,,,,,,,,,
,Bombardier,tbd,Challenger 800,Jet,,C,II,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,125,64.33,winglets,68.42,20.67,tbd,tbd,tbd,,,D,,tbd,tbd,,,,,,,,,,,,
,Bombardier,tbd,Challenger 850,Jet,,C,II,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,125,64.33,winglets,68.42,20.67,tbd,tbd,tbd,,,D,,tbd,tbd,,,,,,,,,,,,
